Product_url,brand,Title,Description,Sale_price,MRP,Discount_percentage,Seller_name,seller_rating,Number_of_ratings,Number_of_reviews,UPC,Star_rating_of_the_product,Color,Model,Headphone Type,Is sweatproof,Is water resistant,Microphon,Connectivity,Battery life
https://www.flipkart.com/zebronics-zeb-bro-extra-heavy-bass-earphone-wired-headset/p/itm67ccfce429774?pid=ACCFVEUU9RYYA9PN,ZEBRONICS,"ZEBRONICS ZEB-BRO+ Extra Heavy bass earphone Wired Headset  (Black, In the Ear)",ZEBRONICS ZEB-BRO+ Extra Heavy Bass HD sound clarity earphone,213,349,38,mobile decoration,4.2,1491,198,ACCFVEUU9RYYA9PN,3.9,Black,ZEB-BRO+ Extra Heavy bass earphone,In the Ear,Yes,No,Yes,Wired,Not available
https://www.flipkart.com/zebronics-premium-quality-neck-band-bluetooth-headphone-headset/p/itm7e2385072d2b0?pid=ACCFMAW2GWGNUWAJ,ZEBRONICS,"ZEBRONICS Premium Quality Neck band Bluetooth headphone Bluetooth Headset  (Blue, In the Ear)",Description Not available,798,1499,46,Not available,0,215,28,ACCFMAW2GWGNUWAJ,3.6,Blue,Premium Quality Neck band Bluetooth headphone,In the Ear,Not available,Yes,Yes,Bluetooth,Not available
https://www.flipkart.com/skullcandy-jib-headset-mic/p/itmd0e39f6808ec9?pid=ACCEXZYHJZFFFZX8,Skullcandy,"Skullcandy Jib Headset with mic  (White, In the Ear)",Description Not available,786,999,21,ARCHIESU,4.2,59478,6549,ACCEXZYHJZFFFZX8,4,White,S2DUYK-441 JIB,In the Ear,Yes,No,Yes,Wired,Not available
https://www.flipkart.com/zebronics-zeb-soul-bluetooth-headset/p/itmf6b79c338d2f6?pid=ACCFUGGYYV64DKFH,ZEBRONICS,"ZEBRONICS ZEB SOUL Bluetooth Headset  (Blue, In the Ear)",Description Not available,2199,3499,37,GoodsKing,4,0,0,ACCFUGGYYV64DKFH,Not available,Blue,ZEB SOUL,In the Ear,Not available,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-zeb-thunder-bluetooth-headset/p/itm10d7266f45daf?pid=ACCFBB8BYKCCRBZH,ZEBRONICS,"ZEBRONICS ZEB-THUNDER Bluetooth Headset  (Red, On the Ear)",Description Not available,779,1199,35,E-Stoke,4.4,20707,2922,ACCFBB8BYKCCRBZH,4,Red,ZEB-THUNDER,On the Ear,Not available,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/sony-mdr-xb550ap-wired-headset/p/itm9626069f3be67?pid=ACCESKHAH5ZZMWCX,SONY,"SONY MDR-XB550AP Wired Headset  (Red, On the Ear)",Description Not available,3285,3290,0,TRUE-TECH,4.6,1823,286,ACCESKHAH5ZZMWCX,4.3,Red,MDR-XB550AP,On the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/skullcandy-cassette-wireless-bluetooth-without-mic-headset/p/itm9031acaf734b4?pid=ACCFXYZRFTMEV2KT,Skullcandy,"Skullcandy Cassette Wireless Bluetooth without Mic Headset  (Purple, On the Ear)",Description Not available,3099,3999,22,Affordia,4.1,0,0,ACCFXYZRFTMEV2KT,Not available,Purple,Cassette Wireless,On the Ear,Not available,Not available,No,Bluetooth,Not available
https://www.flipkart.com/sony-ex14ap-wired-headset/p/itm93fe474021c8c?pid=ACCEWH82GZTEVCNG,SONY,"SONY EX14AP Wired Headset  (Blue, In the Ear)","Enhance your aural experience with this pair of Sony in-the-ear headphones, thanks to its 9 mm Neodymium Drivers and 8 Hz–22 kHz Frequency Range for clear, powerful and balanced sound.  In-line Mic for Hands-free Calling
 	Featuring an In-line Mic, this pair of Sony wired headphones allows you to easily switch from listening to music to answering your calls. It also works vice-versa as it allows you to end your call and then switch back to your music.
 	           9 mm Neodymium Drivers for Powerful, Balanced Sound
 	Thanks to this pair of headphones’ 9 mm Neodymium Drivers, you get crystal clear sound with a defined midrange clarity and a thumping bass.
 	     Smart-key App
 	Sony’s Smart-key App is here to simplify your aural experience. The app allows you to configure and customize the functioning of your mic button to your convenience, such as setting your mic button to control volume levels or change tracks. All you have to do is download and install the app on to your smartphone. The app is compatible with Android 4.0 and above.  Light in Weight for Easy Mobility
 	Extremely light in weight, this pair of earphones makes for easy portability so that you can listen to your music anytime, anywhere.
 	     Comfortable Silicone Earbuds
 	The earbuds of in-the-ear headphones need to be extremely comfortable so that you can wear them for as long as you want to. The earbuds of this pair of headphones are made from hybrid Silicone and are available in 3 different sizes so that you can enjoy comfort and stability.
 	          Wire Manager  
 	It is pretty common for headphone wires to get tangled up and this can ultimately lead to a reduction in its longevity. To help prevent this, this pair of headphones comes with a Wire Manager.
 	     8 Hz–22 kHz Frequency Range
 	Feel every beat of your music as this pair of headphones comes with a wideband frequency range – spanning 8Hz to 22kHz.",699,1290,45,CORSECA,4.7,125221,14297,ACCEWH82GZTEVCNG,4.1,Blue,MDR-EX14AP,In the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/jbl-tune-215tws-bluetooth-headset/p/itmd2d050cb11d65?pid=ACCFWYN5FHDPMY6H,JBL,"JBL Tune 215TWS Bluetooth Headset  (Black, True Wireless)","Say goodbye to tangled wires and listen to music with these earbuds from JBL. Featuring the Dual Connect feature, you can listen to your favourite tunes using both these earbuds or by wearing just one earbud! Oh, and that’s not all! These earbuds offer a total playback time of 25 hours (5 hours from the earbuds and 20 hours from the case).",5999,8999,33,SuperComNet,4.6,143,21,ACCFWYN5FHDPMY6H,3.8,Black,JBLT215TWSBLK,True Wireless,No,No,Yes,Bluetooth,25
https://www.flipkart.com/zebronics-zeb-aika-bluetooth-headset/p/itm946b30eb07a29?pid=ACCGYMDUQ2YR6YWV,ZEBRONICS,"ZEBRONICS Zeb Aika+ Bluetooth Headset  (Black, In the Ear)","Whether you’re settling into a relaxing weekend afternoon or browsing through files at work, the Zebronics Zeb-Aika+ Bluetooth headset can help you plug into a truly wireless listening experience. Offering up to 13 hours of playback time, this headset keeps the audio entertainment going on for a long while. Its 10 mm drivers ensure high-fidelity audio reproduction, enabling you to enjoy your favourite soundtracks in all their authentic glory. Last but not least, this headset also has a call function that lets you accept or decline calls without having to pull the phone out of your pocket.",1375,1699,19,rbtstorecom,4.5,0,0,ACCGYMDUQ2YR6YWV,Not available,Black,Zeb Aika+,In the Ear,Not available,No,Yes,Bluetooth,Not available
https://www.flipkart.com/zebronics-proton-wired-headset/p/itm003f6257e768b?pid=ACCF88YV89HWKWSB,ZEBRONICS,"ZEBRONICS Proton Wired Headset  (Black, In the Ear)",Description Not available,349,499,30,eGrow,0,73,13,ACCF88YV89HWKWSB,2.7,Black,Proton,In the Ear,Yes,No,Yes,Wired,Not available
https://www.flipkart.com/sony-mdr-zx110-ap-wired-headset/p/itm28d3249d209f2?pid=ACCDPUBZDVBZMFVH,SONY,"SONY MDR-ZX110-AP Wired Headset  (White, On the Ear)",Description Not available,1390,1790,22,BestU,4.2,141,19,ACCDPUBZDVBZMFVH,4,White,MDR-ZX110-AP,On the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/bose-soundlink-around-ear-ii-bluetooth-headset/p/itm4dcc418186097?pid=ACCEFEDGZNZ4AGBX,Bose,"Bose SoundLink Around Ear II Bluetooth Headset  (Black, On the Ear)","Take home this Bose SoundLink Around Ear II Bluetooth Headset that features a built-in microphone. It delivers deep, immersive sound at any volume. This headset supports seamless switching between two connected Bluetooth devices. Never miss a call or that movie you’re watching.",19000,19000,0,SuperComNet,4.6,1466,212,ACCEFEDGZNZ4AGBX,4.5,Black,SoundLink Around Ear II,On the Ear,Not available,Not available,Yes,Bluetooth,15
https://www.flipkart.com/jbl-tune-750btnc-bluetooth-headset/p/itm3fe0ad29399dc?pid=ACCFMJBJKXPXFN4S,JBL,"JBL Tune 750BTNC Bluetooth Headset  (Black, On the Ear)","JBL TUNE 750BTNC wireless headphones feature powerful JBL Pure Bass Sound and active noise-cancelling for punchy bass and an immersive audio experience. The lightweight over-ear design offers maximum comfort and sound quality while ready to travel everywhere you go with its compact foldable competence. 15 hours of battery life which recharge in only 2 hours enables noise-free, wireless playback. Allowing connection with two Bluetooth� devices simultaneously, the multipoint connection makes sure you won't miss a call on your phone while streaming videos on your tablet. Keep your music playing endlessly with the included detachable audio cable which extends the noise-cancellation capability up to 30 hours. JBL TUNE 750BTNC comes in various colors matching your personal style.",5999,9499,36,SuperComNet,4.6,36,11,ACCFMJBJKXPXFN4S,3.5,Black,Tune 750BTNC,On the Ear,Not available,Not available,Yes,Bluetooth,15
https://www.flipkart.com/sony-mdr-zx110-wc-in-wired-without-mic-headset/p/itm6581b15b4512a?pid=ACCDQZBGFX4BRJ5B,SONY,"SONY MDR-ZX110/WC(in) Wired without Mic Headset  (White, On the Ear)","Do you like listening to music on the go? Sony has the perfect headphones in the form of MDR-ZX110 to enhance your listening experience and keep you charged, whether you are working out or travelling.  Sound Features
 	Your music will be brought to life with every note loud and clear thanks to the 30mm drivers and the high frequency range. With rich bass, clear and accurate sound you can listen to your favourite songs just the way they are meant to be.  Design and Style
 	The sleek and stylish over-the-head headphones feature a unique inside-folding design that makes it easy to store and carry. The padded ear cups ensure comfort to your ears, so that you can listen to music for longer periods. Also, the 1.2m cord ensures that you can listen to music on the go without any hindrance.  Connectivity
 	The 3.5mm jack makes the headphone compatible with your laptop, smartphone, iPad, iPods and MP3 players.  Additional Features
 	The headphones come with a gold-plated L-shaped stereo mini plug.",920,1000,8,CORSECA,4.7,1299,131,ACCDQZBGFX4BRJ5B,4,White,MDR-ZX110/WC(in),On the Ear,Yes,Not available,No,Wired,Not available
https://www.flipkart.com/zebronics-bro-earphones-wired-headset/p/itma9eb49cfd480d?pid=ACCFP86JPWPUZGWN,ZEBRONICS,"ZEBRONICS BRO Earphones Wired Headset  (Black, White, In the Ear)",Description Not available,215,299,28,truenet retails,4,5,3,ACCFP86JPWPUZGWN,3.4,"Black, White",BRO Earphones,In the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/sennheiser-hd-4-30i-wired-without-mic-headset/p/itm78281c44f484c?pid=ACCES9QARNEJP7DV,Sennheiser,"Sennheiser HD 4.30i Wired without Mic Headset  (White, On the Ear)","The Sennheiser HD 4.30i headphones feature a three-button smart remote on the tangle-free cable, so you can conveniently take calls and control your music on the go. They feature a compact and foldable design to fit in easily in your bag or backpack. Crafted from premium materials, these headphones are sturdy and durable. Their leatherette ear pads keep out much of the ambient noise, offering you an impressive aural experience.",7990,8990,11,SuperComNet,4.6,0,0,ACCES9QARNEJP7DV,Not available,White,HD 4.30i,On the Ear,Not available,Not available,No,Wired,Not available
https://www.flipkart.com/zebronics-zeb-buds-c-type-rphones-volume-control-wired-headset/p/itm81d3167a05084?pid=ACCGYV6ST47BXNY7,ZEBRONICS,"ZEBRONICS Zeb Buds C , Type C rphones with volume control Wired Headset  (Red, black, In the Ear)",Description Not available,559,1299,56,SuperComNet,4.6,46,9,ACCGYV6ST47BXNY7,3.1,"Red, black","Zeb Buds C , Type C rphones with volume control",In the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/zebronics-zeb-corolla-wired-headset/p/itmee33015e07d24?pid=ACCFJ3FKXC2SSVYX,ZEBRONICS,"ZEBRONICS ZEB-COROLLA Wired Headset  (Black, In the Ear)","Let great-sounding music keep you company for long hours with this Bluetooth headset by Zeb-Lark. With up to 17 hours of playback time, this headset will play your favourite tracks and keep you from getting bored. The flexible neckband design makes for a comfortable fit.",222,399,44,CLICKNSAVE,4.4,6621,962,ACCFJ3FKXC2SSVYX,3.6,Black,ZEB-COROLLA,In the Ear,No,No,Yes,Wired,0 hr
https://www.flipkart.com/zebronics-wireless-bt-headphone-mic-zeb-thunder-bluetooth-headset/p/itmd3e600891ecd3?pid=ACCGYGEEM5ZKHHEB,ZEBRONICS,"ZEBRONICS Wireless BT Headphone with Mic ZEB-THUNDER Bluetooth Headset  (Black, On the Ear)",Description Not available,899,1299,30,K S WORLD,4.4,0,0,ACCGYGEEM5ZKHHEB,Not available,Black,Wireless BT Headphone with Mic ZEB-THUNDER,On the Ear,Not available,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/skullcandy-sesh-evo-bluetooth-headset/p/itm43d862d8f4945?pid=ACCFURYSEWZ7KUQ7,Skullcandy,"Skullcandy Sesh Evo Bluetooth Headset  (Black, True Wireless)",Description Not available,4899,7999,38,ARCHIESU,4.2,102,17,ACCFURYSEWZ7KUQ7,3.9,Black,Sesh Evo,True Wireless,Not available,Not available,Yes,Bluetooth,Not available
