"link";"price";"crawled_date"
"https://www.flipkart.com/jabra-elite-85t-advanced-active-noise-cancellation-bluetooth-headset/p/itm2f4f49dba3ae5?pid=ACCFZHB9MTAZRHM2";17999;"2021-06-07"
"https://www.flipkart.com/zebronics-bh540-wireless-earphone-bluetooth-headset/p/itm9be6a7914449f?pid=ACCF42XQZJRD5BCV";374;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-paradise-wireless-bluetooth-headset/p/itmd1605f4b5cefd?pid=ACCFV5RGGZJYS9KQ";899;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-duke-bluetooth-headset/p/itmb820aa5c30e76?pid=ACCFRR83EFREFT2U";1795;"2021-06-07"
"https://www.flipkart.com/sennheiser-hd-280-pro-headphones-wired-without-mic-headset/p/itm4c3b2b7c12907?pid=ACCEEV5V7YG8UEEQ";8500;"2021-06-07"
"https://www.flipkart.com/sony-wf-sp800n-26-hours-battery-life-active-noise-cancellation-enabled-bluetooth-headset/p/itm3524702d9dfba?pid=ACCFSNJESB5WGGDT";14990;"2021-06-07"
"https://www.flipkart.com/sony-mdr-xb550ap-wired-headset/p/itm1952165012920?pid=ACCESKHA3AKYDQQX";2999;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-supreme-wired-headset/p/itma41925953feb1?pid=ACCFPFHWNWZKXCZ4";999;"2021-06-07"
"https://www.flipkart.com/boat-airdopes-281v2-bluetooth-headset/p/itmfb1302ca57913?pid=ACCFX4ZFGNFG5KZZ";1799;"2021-06-07"
"https://www.flipkart.com/jbl-tune-660nc-bluetooth-headset/p/itm6a7e997baae2a?pid=ACCGY6G7GZRBDPZH";5999;"2021-06-07"
"https://www.flipkart.com/jbl-t50hi-wired-headset/p/itm1a543868afa98?pid=ACCFTYWVQPKAXCUE";499;"2021-06-07"
"https://www.flipkart.com/sony-c400-bluetooth-headset/p/itmd65abb025a4b5?pid=ACCEZVSEYFZE2TBJ";3299;"2021-06-07"
"https://www.flipkart.com/sony-mdr-ex15ap-gaming-earphones-clear-sound-extra-bass-mic-wired-without-headset/p/itmfd01ec003da35?pid=ACCG3Y4HZ4XSZFNC";890;"2021-06-07"
"https://www.flipkart.com/jbl-live-650bt-voice-enabled-active-noise-cancellation-bluetooth-headset/p/itm938cbe9106747?pid=ACCFFMWYHA8FM4MP";8999;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-emz10-wired-headset/p/itme97176d3aa6d5?pid=ACCFKFNZZHYCKYER";170;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-paradise-bluetooth-headset/p/itm1708bc4b4acef?pid=ACCFV2EGBYXBCFMD";920;"2021-06-07"
"https://www.flipkart.com/beats-powerbeats-pro-true-wireless-bluetooth-headset/p/itm9f954f75c59b6?pid=ACCFHJZPSYAKVFNM";21500;"2021-06-07"
"https://www.flipkart.com/jabra-talk-30-bluetooth-headset/p/itmabb605df068a6?pid=ACCFA4THYHFYMS4X";2799;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-evolve-wireless-ear-neckband-earphone-bluetooth-headset/p/itm8263a774fa207?pid=ACCGF9NY9MPHF9FQ";799;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-duke-101-wireless-headphone-mic-bluetooth-headset/p/itm8f8b4cf0998af?pid=ACCGFJMZCUJGGUVZ";1099;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-monk-active-noise-cancellation-enabled-bluetooth-headset/p/itmbb50a972782a0?pid=ACCFT7JFVMS62KFA";1999;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-envy-bluetooth-headset/p/itm3dd7228cf8cbf?pid=ACCFKTFZQDCPAT8Q";3299;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-all-rounder-wired-headset/p/itmda6dc228d8b09?pid=ACCFXENHGYUZYWWD";749;"2021-06-07"
"https://www.flipkart.com/skullcandy-venue-active-noise-cancellation-enabled-bluetooth-headset/p/itmcda5ba6ae8fdc?pid=ACCFAYGECYBTDSMS";12999;"2021-06-07"
"https://www.flipkart.com/sony-wi-c310-bluetooth-headset/p/itmcf469b67a8214?pid=ACCFGWBDA24DPSZ8";2290;"2021-06-07"
"https://www.flipkart.com/jabra-bt-2045-bluetooth-headset/p/itma35c5ab34ab8b?pid=ACCD4VQNHJGPRRRV";899;"2021-06-07"
"https://www.flipkart.com/jbl-dive-bluetooth-headset/p/itm987af7b41e874?pid=ACCF9VEWMHRMQ4EK";5490;"2021-06-07"
"https://www.flipkart.com/zebronics-earphone-grey-wired-headset/p/itma301de2e5987e?pid=ACCFEKNPGWZGYF97";450;"2021-06-07"
"https://www.flipkart.com/beats-flex-bluetooth-headset/p/itmdf07c37903f23?pid=ACCFY7EHZDU2YVSF";4499;"2021-06-07"
"https://www.flipkart.com/jbl-tune-125bt-bluetooth-headset/p/itm46176f06fbdfd?pid=ACCFWREJFD2KBQ7Q";1699;"2021-06-07"
"https://www.flipkart.com/skullcandy-anti-headphone/p/itm001e89f1c2ef6?pid=ACCEMA2ZW7FK3GKF";999;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-jump-bluetooth-headset/p/itm118392c19ce64?pid=ACCF8CF7CG9HDCFH";3999;"2021-06-07"
"https://www.flipkart.com/bose-soundsport-bluetooth-headset/p/itmd32877aab7e48?pid=ACCEMF3YNBSKNWT6";13275;"2021-06-07"
"https://www.flipkart.com/skullcandy-jib-plus-active-sport-wireless-bluetooth-headset/p/itm4036f053223ee?pid=ACCFMJGVT8YPBXGH";2079;"2021-06-07"
"https://www.flipkart.com/sony-mdr-zx110-wired-without-mic-headset/p/itmf5143984e8a89?pid=ACCDPUC4HZHGX8CZ";990;"2021-06-07"
"https://www.flipkart.com/sony-mdr-zx110apw-wired-headset/p/itm66d13da2b057b?pid=ACCDQZAUYD5PUHN6";1590;"2021-06-07"
"https://www.flipkart.com/boat-airdopes-381-asap-charge-bluetooth-headset/p/itm1a3597c7a176f?pid=ACCFVGUU7SYUWQDT";1999;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-335-bluetooth-headset/p/itm02ddc017b35d7?pid=ACCFTV5KZFGSMCAG";1599;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-103-blue-wired-headset/p/itm21547b132f2a3?pid=ACCFGYHHKJ94GN6A";399;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-paradise-bluetooth-headset/p/itmc286371e8858e?pid=ACCFP6FBH7MGZZ3E";895;"2021-06-07"
"https://www.flipkart.com/jbl-tune-125tws-bluetooth-headset/p/itmf3a26c1169a34?pid=ACCFTWYUZ4VPEVMX";5999;"2021-06-07"
"https://www.flipkart.com/sennheiser-hd-2-30g-wired-without-mic-headset/p/itm1a74f60f34625?pid=ACCES9QAS9ZXZ5KE";6990;"2021-06-07"
"https://www.flipkart.com/jbl-tune-120tws-bluetooth-headset/p/itm474e3dd964996?pid=ACCFGQRVHHDPH9YC";6349;"2021-06-07"
"https://www.flipkart.com/skullcandy-ink-d-plus-wired-headset/p/itmae7dcbd13a3b9?pid=ACCFGHX48KSXUPAF";999;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-100-wired-headset/p/itmabdfaf60777d8?pid=ACCFXEMJUKWFNZ8U";399;"2021-06-07"
"https://www.flipkart.com/sony-wi-c400-wireless-neckband-headphones-mic-bluetooth-headset/p/itm28d17b1329a48?pid=ACCG2WTA5GSS85RB";3990;"2021-06-07"
"https://www.flipkart.com/jbl-t205bt-bluetooth-headset/p/itm2a0b4443dc8d5?pid=ACCF5R5JFCCWZ8HK";1699;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-temptation-wired-headset/p/itme7adcba686f28?pid=ACCFUNVFHRFRQCHH";325;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-100-chennai-super-kings-wired-headset/p/itm50e8e28eb1426?pid=ACCFF3YDK7GKYTZK";499;"2021-06-07"
